id,gene_short_name,n_cells,highly_variable,means,dispersions,dispersions_norm,spearmanr_recon
ENSG00000170921.15,TANC2,422727,True,2.5821020318042955,3.2435720378637827,1.9043682,0.9448532729370434
ENSG00000185305.10,ARL15,403964,True,2.1189155337168315,3.087870885438735,1.5667473,0.925633978936404
ENSG00000074410.13,CA12,311128,True,1.9506209992361674,3.1011156719023814,1.6075661,0.8741881330940099
ENSG00000149485.18,FADS1,292092,True,1.6799641120466027,3.006801394348609,1.9393778,0.8662888005584416
ENSG00000251574.6,AC099520.1,286116,True,1.9679794371401713,3.4570964579541585,2.7046552,0.8638588508031074
ENSG00000113448.18,PDE4D,291980,True,2.8759846718014064,3.917802698066671,1.9844137,0.8533684632381755
ENSG00000160182.2,TFF1,273758,True,2.140233892079745,3.6469357044780764,2.2331622,0.8317493730125901
ENSG00000108846.15,ABCC3,254931,True,1.9523213130121488,3.218392713355409,1.9689995,0.8254445531653868
ENSG00000159023.19,EPB41,251287,True,1.6038057801088694,3.082677441364219,2.2111158,0.8246746030590749
ENSG00000184226.14,PCDH9,233147,True,1.6574267371280857,2.964152513631947,1.7866375,0.8044166115088698
ENSG00000164506.14,STXBP5,265434,True,1.6749971719274144,3.2063108403940475,2.6538894,0.8043507760320877
ENSG00000129422.14,MTUS1,228386,True,1.668730303754716,2.998437800291519,1.9094249,0.7989323147051367
ENSG00000196975.15,ANXA4,234576,True,1.4081593739031661,2.705259863757163,1.6783838,0.792587090582953
ENSG00000227036.6,LINC00511,216045,True,1.5542116938375103,3.018058445294752,1.9796932,0.787336232217052
ENSG00000151632.17,AKR1C2,219379,True,1.6856814411802707,3.0320471782843095,2.0297916,0.7802558538916101
ENSG00000165092.12,ALDH1A1,245539,True,2.220571778176012,3.4071427385774333,1.5589799,0.7782259255356797
ENSG00000176658.16,MYO1D,237535,True,1.3571119663692113,2.7650170510575527,1.9574337,0.7765174322598442
ENSG00000117724.12,CENPF,201536,True,1.2542687727011876,2.696581858460411,1.6378598,0.7712944554912698
ENSG00000044574.7,HSPA5,201454,True,1.108437984461087,2.7190468970080457,1.7427655,0.7705792518643638
ENSG00000164199.16,ADGRV1,204706,True,1.2571641730593746,2.835352017352759,2.285879,0.7697464177772413
ENSG00000204740.10,MALRD1,213020,True,1.6710402002048486,3.2070096004007396,2.6563919,0.7696489993806503
ENSG00000205213.13,LGR4,212582,True,1.3384588106790116,2.7235519587834673,1.7638029,0.766656593178811
ENSG00000106853.18,PTGR1,203262,True,1.6704423323521234,3.224043386788655,2.7173955,0.7642329384201663
ENSG00000145819.15,ARHGAP26,198597,True,1.3515110796554453,2.74689306170314,1.8727995,0.763577185433149
ENSG00000057019.15,DCBLD2,205533,True,1.2940340343036436,2.684923691715712,1.5834194,0.7635529126212327
ENSG00000135679.22,MDM2,210256,True,1.1734726115254672,2.724337136059043,1.7674695,0.7609091043204217
ENSG00000253394.5,LINC00534,199575,True,1.9068106739883814,3.7856930025856097,3.7173493,0.7548508434773151
ENSG00000066279.17,ASPM,187438,True,1.196090323763074,2.7411958559840945,1.8461951,0.7535117197219441
ENSG00000101144.12,BMP7,192251,True,1.236531056192028,2.715037084945374,1.7240407,0.7498338293871848
ENSG00000100030.14,MAPK1,210380,True,1.302882868106238,2.740540179932165,1.8431333,0.7457653643586492
ENSG00000125257.13,ABCC4,183296,True,1.240497620428438,2.676484757013601,1.5440118,0.7450128261692593
ENSG00000136231.13,IGF2BP3,184854,True,1.329789221480533,2.695998752389685,1.635137,0.7408372883570534
ENSG00000103257.8,SLC7A5,191700,True,1.2509288487665715,2.7231809411536205,1.7620704,0.7362493143090499
ENSG00000198074.9,AKR1B10,205809,True,1.804063710972858,3.225742645164305,1.991651,0.7341685871915007
ENSG00000249364.5,AC112206.2,182635,True,1.2147051680303012,2.8691781405450847,2.4438376,0.7328383373525678
ENSG00000068489.12,PRR11,192874,True,1.2169902434944448,2.697698524430834,1.6430744,0.7326737779400517
ENSG00000018236.14,CNTN1,189183,True,1.6586365970957186,3.051988213748754,2.1012073,0.7292910944233387
ENSG00000115414.18,FN1,178819,True,1.4413475536088252,3.1529366839377553,2.4627383,0.7254642390855749
ENSG00000065809.13,FAM107B,177033,True,1.2515166572433614,2.809049685024617,2.1630542,0.7221136769475115
ENSG00000019186.9,CYP24A1,165154,True,1.424630293417826,3.0068356586887894,1.9395005,0.7089754651264842
ENSG00000205426.10,KRT81,166646,True,1.5484745971078195,3.4142268926209507,3.3985078,0.708698796757277
ENSG00000072274.12,TFRC,177544,True,1.0402816846943175,2.5857637859489335,1.5469236,0.7085836790296437
ENSG00000112541.13,PDE10A,173068,True,1.4663029401721985,2.9714070278863027,1.8126185,0.7043946655874039
ENSG00000170456.15,DENND5B,158504,True,1.0544245521955282,2.6691823727166297,1.97782,0.7036032284995918
ENSG00000175175.5,PPM1E,159990,True,0.9701479158852226,2.6667716483531896,1.9653676,0.7020668454566118
ENSG00000023839.10,ABCC2,168387,True,1.390527945094724,2.8584694394816075,2.393831,0.7019322490242298
ENSG00000136205.16,TNS3,162357,True,1.2272674808104413,2.852450257459293,2.3657231,0.7014609350829735
ENSG00000004948.13,CALCR,162357,True,1.067101636909832,2.7075239600054175,1.6889565,0.7012500034363451
ENSG00000122884.12,P4HA1,166086,True,1.0733013390602086,2.9181318220913974,2.6724381,0.6990426987170264
ENSG00000138696.10,BMPR1B,153798,True,1.0449739291053317,2.649719278047963,1.8772839,0.6872240916525679
ENSG00000157388.15,CACNA1D,146878,True,0.9465706550958627,2.674227619132553,2.0038812,0.6858152037357578
